 python test_drone.py
Connected!
Client Ver:1 (Min Req: 1), Server Ver:1 (Min Req: 1)

E:\RL-Autonoums-Drone-AdditionProject\codes\env\lib\site-packages\gymnasium\spaces\box.py:236: UserWarning: WARN: Box low's precision lowered by casting to float32, current low.dtype=float64
  gym.logger.warn(
E:\RL-Autonoums-Drone-AdditionProject\codes\env\lib\site-packages\gymnasium\spaces\box.py:306: UserWarning: WARN: Box high's precision lowered by casting to float32, current high.dtype=float64
  gym.logger.warn(
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
✅ Model loaded successfully. Starting test...
Reward: 1.56
Reward: 8.35
Reward: 10.79
Reward: 17.38
Reward: 30.05
Reward: 25.83
Reward: 33.21
Reward: 23.28
Reward: 5.43
Reward: 6.40
Reward: 10.36
Reward: 12.80
Reward: 11.09
Reward: 19.82
Reward: 16.29
Reward: 13.81
Reward: 18.82
Reward: 12.50
Reward: 11.60
Reward: 11.81
Reward: 19.35
Reward: 14.99
Reward: 12.78
Reward: 12.73
Reward: 7.99
Reward: 1.20
Reward: 2.96
Reward: 5.56
Reward: 4.54
Reward: 6.40
Reward: 9.55
Reward: 10.73
Reward: 4.04
Reward: 6.68
Reward: 11.45
Reward: 9.16
Reward: 15.09
Reward: 2.06
Reward: 1.41
Reward: 0.51
Reward: 3.11
Reward: 5.25
Reward: 9.06
Reward: 11.52
Reward: 8.96
Reward: 2.54
Reward: 0.85
Reward: 4.47
Reward: 7.43
Reward: 11.61
Reward: 11.04
Reward: 1.32
Reward: -0.06
Reward: 0.09
Reward: 0.93
Reward: 0.64
Reward: 0.77
Reward: 0.96
Reward: 1.30
Reward: 1.14
Reward: 0.65
Reward: 3.21
Reward: 8.66
Reward: 9.32
Reward: 12.95
Reward: 18.96
Reward: 15.89
Reward: 26.39
Reward: 16.22
Reward: 0.47
Reward: -0.31
Reward: -0.50
Reward: 1.41
Reward: 6.28
Reward: 6.02
Reward: 6.91
Reward: 11.32
Reward: 13.16
Reward: 25.14
Reward: 8.23
Reward: 5.77
Reward: 15.45
Reward: 6.22
Reward: 3.04
Reward: 3.83
Reward: 12.67
Reward: 9.38
Reward: 11.98
Reward: 8.39
Reward: 2.76
Reward: 2.34
Reward: -4.90
Reward: -4.30
Reward: -5.24
Reward: -5.32
Reward: -4.61
Reward: -7.01
Reward: -6.87
Reward: -7.09
Reward: -9.47
Reward: -9.19
Reward: -5.59
Reward: -1.47
Reward: -0.90
Reward: 1.11
Reward: 4.73
Reward: 6.96
Reward: 2.81
Reward: 3.14
Reward: 9.82
Reward: 4.77
Reward: 7.15
Reward: 7.20
Reward: 5.51
Reward: 10.13
Reward: 12.82
Reward: 9.79
Reward: 6.84
Reward: 7.05
Reward: 7.14
Reward: 8.25
Reward: 10.01
Reward: 6.30
Reward: 5.33
Reward: 7.77
Reward: 21.46
Reward: 17.95
Reward: 21.66
Reward: 24.89
Reward: 8.80
Reward: 8.71
Reward: 11.51
Reward: 30.75
Reward: 20.42
Reward: 26.94
Reward: 23.11
Reward: 9.87
Reward: 7.00
Reward: 9.85
Reward: 31.35
Reward: 30.28
Reward: 23.85
Reward: 31.01
Reward: 15.90
Reward: 12.05
Reward: 10.51
Reward: 34.75
Reward: 37.59
Reward: 27.87
Reward: 38.74
Reward: 23.67
Reward: 17.63
Reward: 22.81
Reward: 33.93
Reward: 43.14
Reward: 28.48
Reward: 29.05
Reward: 37.20
Reward: 34.30
Reward: 40.04
Reward: 33.13
Reward: 28.71
Reward: 35.80
Reward: 51.44
Reward: 31.58
Reward: 21.28
Reward: 36.50
Reward: 41.71
Reward: 34.42
Reward: 28.15
Reward: 12.27
Reward: 11.49
Reward: 5.34
Reward: -1.87
Reward: -10.29
Reward: -14.47
Reward: -7.96
Reward: -7.01
Reward: -4.56
Reward: -6.06
Reward: -6.99
Reward: -9.19
Reward: -7.63
Reward: -8.01
Reward: -11.50
Reward: -10.17
Reward: -7.80
Reward: -14.02
Reward: -10.98
Reward: -10.00
Reward: -7.17
Reward: -5.58
Reward: -5.33
Reward: -5.83
Reward: -7.46
Reward: -6.32
Reward: -4.88
Reward: -4.59
Reward: -3.64
Reward: -3.32
Reward: -2.79
Reward: -2.10
Reward: -1.16
Reward: -0.58
Reward: -0.83
Reward: -1.53
Reward: -1.54
Reward: -0.33
Reward: -0.00
Reward: -2.29
Reward: -6.34
Reward: -8.67
Reward: -7.27
Reward: -8.87
Reward: -6.91
Reward: -4.58
Reward: -4.45
Reward: -4.41
Reward: -3.61
Reward: -3.11
Reward: -2.53
Reward: -2.20
Reward: -1.42
Reward: -0.18
Reward: 0.63
Reward: 1.16
Reward: 5.91
Reward: 11.20
Reward: 13.37
Reward: 11.52
Reward: 19.61
Reward: 24.39
Reward: 5.65
Reward: 11.02
Reward: -5.95
Reward: -17.92
Reward: -22.84
Reward: -13.75
Reward: -10.19
Reward: -8.38
Reward: -9.37
Reward: -8.16
Reward: -8.19
Reward: -4.83
Reward: -3.73
Reward: -2.23
Reward: 0.43
Reward: 1.76
Reward: 2.76
Reward: 8.81
Reward: 5.25
Reward: 7.03
Reward: 14.18
Reward: 17.38
Reward: 35.07
Goal reached. Landing...
Reward: 500.00
🛬 Test episode finished.
